timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
193253.3209824,8,000800,2048,29691,29691,+,1.1972325000097044,0.0,True
193253.4968955,8,000800,2048,29691,29691,+,1.3731455999950413,0.0,True
193253.6727483,8,000800,2048,29691,29691,+,1.5489984000159893,0.0,True
193253.8491406,8,000800,2048,29691,29691,+,1.7253907000122126,0.0,True
193254.0245899,8,000800,2048,29691,29691,+,1.900839999987511,0.0,True
193254.2005231,8,000800,2048,29691,29691,+,2.076773200009484,0.0,True
193254.3764036,8,000800,2048,29691,29691,+,2.2526537000085227,0.0,True
193254.5523118,8,000800,2048,29691,29691,+,2.4285619000147562,0.0,True
193254.7282379,8,000800,2048,62459,62459,+,2.60448800001177,186260.02623008302,True
193254.9041126,8,000800,2048,29690,29690,+,2.7803626999957487,-186320.1472581622,True
193255.0802815,8,000800,2048,29690,29690,+,2.95653160000802,0.0,True
193255.2741915,9,000400,1024,29690,29690,+,0.15004570002201945,,False
193255.4478464,9,000400,1024,29690,29690,+,0.3237006000126712,0.0,False
193255.6241304,9,000400,1024,29690,29690,+,0.49998460002825595,0.0,False
193255.7997164,9,000400,1024,29690,29690,+,0.6755706000258215,0.0,True
193255.975596,9,000400,1024,29690,29690,+,0.8514502000180073,0.0,True
193256.1516265,9,000400,1024,29690,29690,+,1.0274807000241708,0.0,True
193256.3275283,9,000400,1024,29690,29690,+,1.2033825000107754,0.0,True
193256.5032962,9,000400,1024,29690,29690,+,1.3791504000255372,0.0,True
193256.6795446,9,000400,1024,29690,29690,+,1.5553988000028767,0.0,True
193256.8550692,9,000400,1024,29690,29690,+,1.7309234000276774,0.0,True
193257.0310793,9,000400,1024,29690,29690,+,1.9069335000240244,0.0,True
193257.2069057,9,000400,1024,29690,29690,+,2.082759900018573,0.0,True
193257.3831903,9,000400,1024,29690,29690,+,2.2590445000096224,0.0,True
193257.5587354,9,000400,1024,29690,29690,+,2.4345896000158973,0.0,True
193257.7346166,9,000400,1024,29690,29690,+,2.6104708000202663,0.0,True
193257.9109328,9,000400,1024,29690,29690,+,2.7867870000191033,0.0,True
193258.0864629,9,000400,1024,29690,29690,+,2.962317100027576,0.0,True
193258.2745963,10,000200,512,29690,29690,+,0.15003630000865087,,False
193258.4382979,10,000200,512,29690,29690,+,0.3137378999963403,0.0,False
193258.6141905,10,000200,512,29690,29690,+,0.48963050000020303,0.0,False
193258.7902838,10,000200,512,29690,29690,+,0.6657237999897916,0.0,True
193258.9659769,10,000200,512,29690,29690,+,0.8414169000170659,0.0,True
193259.1423523,10,000200,512,29690,29690,+,1.0177923000010196,0.0,True
193259.3178434,10,000200,512,29690,29690,+,1.1932834000035655,0.0,True
193259.4937544,10,000200,512,29690,29690,+,1.3691944000020158,0.0,True
193259.6697278,10,000200,512,29690,29690,+,1.5451678000099491,0.0,True
193259.8457546,10,000200,512,29690,29690,+,1.7211946000170428,0.0,True
193260.0215656,10,000200,512,29690,29690,+,1.8970056000107434,0.0,True
193260.1977652,10,000200,512,29690,29690,+,2.0732051999948453,0.0,True
193260.3733253,10,000200,512,29690,29690,+,2.2487652999989223,0.0,True
193260.5493308,10,000200,512,29690,29690,+,2.4247707999893464,0.0,True
193260.7252275,10,000200,512,29690,29690,+,2.6006674999953248,0.0,True
193260.9012779,10,000200,512,29690,29690,+,2.7767179000074975,0.0,True
193261.077073,10,000200,512,29690,29690,+,2.952512999996543,0.0,True
193261.2759099,11,0000F5,245,29690,29690,+,0.15043439998407848,,False
193261.4447639,11,0000F5,245,29690,29690,+,0.3192884000018239,0.0,False
193261.6209922,11,0000F5,245,29690,29690,+,0.495516700000735,0.0,False
193261.7966356,11,0000F5,245,29690,29690,+,0.671160099998815,0.0,True
193261.9724602,11,0000F5,245,29690,29690,+,0.8469846999796573,0.0,True
193262.1487848,11,0000F5,245,29690,29690,+,1.0233092999842484,0.0,True
193262.3244454,11,0000F5,245,29690,29690,+,1.1989698999968823,0.0,True
