cumulative_progress,cycle_elapsed_s,cycle_index,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
8503,5.955118099984247,1,270,+,8.357487899978878,1536.6289663487912,,260359.0406201,0072F1,MEDIUM,162366,027A3E,162366,True
8819,6.131025699985912,1,316,+,8.533395499980543,1796.3976542060109,,260359.2165277,0072F1,MEDIUM,162682,027B7A,162682,True
9138,6.306938900001114,1,319,+,8.709308699995745,1813.394332957575,,260359.3924409,0072F1,MEDIUM,163001,027CB9,163001,True
9465,6.482832200010307,1,327,+,8.885202000004938,1859.0816135856776,,260359.5683342,0072F1,MEDIUM,163328,027E00,163328,True
9786,6.659147200000007,1,321,+,9.061516999994637,1820.6051669951678,,260359.7446492,0072F1,MEDIUM,163649,027F41,163649,True
10092,6.834665200003656,1,306,+,9.237034999998286,1743.4109321758363,,260359.9201672,0072F1,MEDIUM,163955,028073,163955,True
10444,7.0108897000027355,1,352,+,9.413259499997366,1997.452113649566,,260360.0963917,0072F1,MEDIUM,164307,0281D3,164307,True
10823,7.186488100007409,1,379,+,9.58885790000204,2158.3340166534117,,260360.2719901,0072F1,MEDIUM,164686,02834E,164686,True
11204,7.362415399984457,1,381,+,9.764785199979087,2165.66729580746,,260360.4479174,0072F1,MEDIUM,165067,0284CB,165067,True
11588,7.538358199992217,1,384,+,9.940727999986848,2182.527503160473,,260360.6238602,0072F1,MEDIUM,165451,02864B,165451,True
11976,7.714209900004789,1,388,+,10.11657969999942,2206.404600991977,,260360.7997119,0072F1,MEDIUM,165839,0287CF,165839,True
12365,7.890125400008401,1,389,+,10.292495200003032,2211.288942657205,,260360.9756274,0072F1,MEDIUM,166228,028954,166228,True
12716,8.06611710001016,1,351,+,10.468486900004791,1994.4122364662137,,260361.1516191,0072F1,MEDIUM,166579,028AB3,166579,True
13099,8.242275500000687,1,383,+,10.644645299995318,2174.1796021114865,,260361.3277775,0072F1,MEDIUM,166962,028C32,166962,True
13509,8.418326299986802,1,410,+,10.820696099981433,2328.8732572208537,,260361.5038283,0072F1,MEDIUM,167372,028DCC,167372,True
13937,8.593768999999156,1,428,+,10.996138799993787,2439.542938918869,,260361.679271,0072F1,MEDIUM,167800,028F78,167800,True
14329,8.769684099999722,1,392,+,11.172053899994353,2228.3476517862255,,260361.8551861,0072F1,MEDIUM,168192,029100,168192,True
14737,8.945590199989965,1,408,+,11.347959999984596,2319.4192812110005,,260362.0310922,0072F1,MEDIUM,168600,029298,168600,True
15129,9.121833100012736,1,392,+,11.524202900007367,2224.2030739924967,,260362.2073351,0072F1,MEDIUM,168992,029420,168992,True
15563,9.2975301000115,1,434,+,11.69989990000613,2470.161698851176,,260362.3830321,0072F1,MEDIUM,169426,0295D2,169426,True
16027,9.473428099998273,1,464,+,11.875797899992904,2637.8924151206406,,260362.5589301,0072F1,MEDIUM,169890,0297A2,169890,True
16500,9.649224399996456,1,473,+,12.051594199991086,2690.614080073866,,260362.7347264,0072F1,MEDIUM,170363,02997B,170363,True
16997,9.825422099995194,1,497,+,12.227791899989825,2820.6951623293553,,260362.9109241,0072F1,MEDIUM,170860,029B6C,170860,True
17461,10.001201500010211,1,464,+,12.403571300004842,2639.6722253026237,,260363.0867035,0072F1,MEDIUM,171324,029D3C,171324,True
17958,10.177064199990127,1,497,+,12.579433999984758,2826.0682910973055,,260363.2625662,0072F1,MEDIUM,171821,029F2D,171821,True
96,0.1501529999950435,2,96,+,13.12313809999614,639.3448846066472,,260363.8062703,00E5E3,FAST,172209,02A0B1,172209,True
378,0.3263087999948766,2,282,+,13.299293899995973,1600.8556062319105,,260363.9824261,00E5E3,FAST,172491,02A1CB,172491,True
787,0.5020070000027772,2,409,+,13.474992100003874,2327.855379176386,,260364.1581243,00E5E3,FAST,172900,02A364,172900,True
1186,0.6782343999948353,2,399,+,13.651219499995932,2264.1201085528214,,260364.3343517,00E5E3,FAST,173299,02A4F3,173299,True
1613,0.8536536000028718,2,427,+,13.826638700003969,2434.1691216265817,,260364.5097709,00E5E3,FAST,173726,02A69E,173726,True
2081,1.0295705999888014,2,468,+,14.002555699989898,2660.3455040583467,,260364.6856879,00E5E3,FAST,174194,02A872,174194,True
2575,1.2057067999849096,2,494,+,14.178691899986006,2804.6477669605406,,260364.8618241,00E5E3,FAST,174688,02AA60,174688,True
3067,1.3813775999878999,2,492,+,14.354362699988997,2800.6931145735384,,260365.0374949,00E5E3,FAST,175180,02AC4C,175180,True
3539,1.557289699994726,2,472,+,14.530274799995823,2683.1582363105445,,260365.213407,00E5E3,FAST,175652,02AE24,175652,True
4043,1.7332072999852244,2,504,+,14.706192399986321,2864.977694256983,,260365.3893246,00E5E3,FAST,176156,02B01C,176156,True
4571,1.909138899995014,2,528,+,14.88212399999611,3001.1663622147444,,260365.5652562,00E5E3,FAST,176684,02B22C,176684,True
5096,2.0850684999895748,2,525,+,15.058053599990672,2984.148204828702,,260365.7411858,00E5E3,FAST,177209,02B439,177209,True
5564,2.2612199999857694,2,468,+,15.234205099986866,2656.8039443894045,,260365.9173373,0072F1,MEDIUM,177677,02B60D,177677,True
5825,2.4368509000050835,2,261,+,15.40983600000618,1486.0710727514224,,260366.0929682,0072F1,MEDIUM,177938,02B712,177938,True
5963,2.6127501000009943,2,138,+,15.585735200002091,784.540236699247,,260366.2688674,0072F1,MEDIUM,178076,02B79C,178076,True
6047,2.7886790999909863,2,84,+,15.761664199992083,477.46534115909526,,260366.4447964,0072F1,MEDIUM,178160,02B7F0,178160,True
6119,2.964585599984275,2,72,+,15.937570699985372,409.3083541696692,,260366.6207029,0072F1,MEDIUM,178232,02B838,178232,True
6165,3.140518999978667,2,46,+,16.113504099979764,261.46257618772955,,260366.7966363,0072F1,MEDIUM,178278,02B866,178278,True
6210,3.316777700005332,2,45,+,16.28976280000643,255.3065465318437,,260366.972895,0072F1,MEDIUM,178323,02B893,178323,True
6247,3.4923118999868166,2,37,+,16.465296999987913,210.7851347709038,,260367.1484292,0072F1,MEDIUM,178360,02B8B8,178360,True
6300,3.668230599985691,2,53,+,16.641215699986788,301.2755323927426,,260367.3243479,0072F1,MEDIUM,178413,02B8ED,178413,True
6362,3.8445099999953527,2,62,+,16.81749509999645,351.714380674099,,260367.5006273,0072F1,MEDIUM,178475,02B92B,178475,True
6411,4.020065599994268,2,49,+,16.993050699995365,279.113853390622,,260367.6761829,0072F1,MEDIUM,178524,02B95C,178524,True
6473,4.196147499984363,2,62,+,17.16913259998546,352.1088766277948,,260367.8522648,0072F1,MEDIUM,178586,02B99A,178586,True
