cumulative_progress,cycle,cycle_elapsed_s,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
6004,1,3.492292999988422,46,+,4.339418299990939,262.1841535843165,,212102.2516588,0072F1,MEDIUM,8679,0021E7,8679,True
6073,1,3.6683058999769855,69,+,4.515431199979503,392.0167215271336,,212102.4276717,0072F1,MEDIUM,8748,00222C,8748,True
6152,1,3.844079899979988,79,+,4.691205199982505,449.44075914896695,,212102.6034457,0072F1,MEDIUM,8827,00227B,8827,True
6266,1,4.020141499990132,114,+,4.867266799992649,647.5006474633425,,212102.7795073,0072F1,MEDIUM,8941,0022ED,8941,True
6368,1,4.196005999983754,102,+,5.043131299986271,579.9919824848051,,212102.9553718,0072F1,MEDIUM,9043,002353,9043,True
6500,1,4.371776599989971,132,+,5.218901899992488,750.9788326109774,,212103.1311424,0072F1,MEDIUM,9175,0023D7,9175,True
6639,1,4.547716899978695,139,+,5.394842199981213,790.0407127241926,,212103.3070827,0072F1,MEDIUM,9314,002462,9314,True
6797,1,4.723598299984587,158,+,5.5707235999871045,898.332626387481,,212103.4829641,0072F1,MEDIUM,9472,002500,9472,True
6961,1,4.899492600001395,164,+,5.746617900003912,932.3781383724723,,212103.6588584,0072F1,MEDIUM,9636,0025A4,9636,True
7133,1,5.075674599997001,172,+,5.922799899999518,976.2631824152846,,212103.8350404,0072F1,MEDIUM,9808,002650,9808,True
7299,1,5.251318800001172,166,+,6.0984441000036895,945.0924083804503,,212104.0106846,0072F1,MEDIUM,9974,0026F6,9974,True
7460,1,5.427542899997206,161,+,6.274668199999724,913.6094325556114,,212104.1869087,0072F1,MEDIUM,10135,002797,10135,True
7658,1,5.603152800002135,198,+,6.4502781000046525,1127.4990760454998,,212104.3625186,0072F1,MEDIUM,10333,00285D,10333,True
7863,1,5.77907619997859,205,+,6.626201499981107,1165.2798890166794,,212104.538442,0072F1,MEDIUM,10538,00292A,10538,True
8120,1,5.954991999984486,257,+,6.802117299987003,1460.926193050234,,212104.7143578,0072F1,MEDIUM,10795,002A2B,10795,True
8388,1,6.131032499979483,268,+,6.978157799982,1522.3769530739605,,212104.8903983,0072F1,MEDIUM,11063,002B37,11063,True
8680,1,6.306753499986371,292,+,7.153878799988888,1661.7251210074717,,212105.0661193,0072F1,MEDIUM,11355,002C5B,11355,True
9000,1,6.482668899989221,320,+,7.329794199991738,1819.0562053965446,,212105.2420347,0072F1,MEDIUM,11675,002D9B,11675,True
9293,1,6.658586799982004,293,+,7.505712099984521,1665.5496684079385,,212105.4179526,0072F1,MEDIUM,11968,002EC0,11968,True
9564,1,6.834482599981129,271,+,7.681607899983646,1540.6848827621104,,212105.5938484,0072F1,MEDIUM,12239,002FCF,12239,True
9871,1,7.010444199986523,307,+,7.85756949998904,1744.6988433305298,,212105.76981,0072F1,MEDIUM,12546,003102,12546,True
10208,1,7.18630089997896,337,+,8.033426199981477,1916.33301440601,,212105.9456667,0072F1,MEDIUM,12883,003253,12883,True
10578,1,7.362221699993825,370,+,8.209346999996342,2103.219175724169,,212106.1215875,0072F1,MEDIUM,13253,0033C5,13253,True
10900,1,7.5381281999871135,322,+,8.38525349998963,1830.5179172587984,,212106.297494,0072F1,MEDIUM,13575,003507,13575,True
11276,1,7.7144160000025295,376,+,8.561541300005047,2132.8758993368774,,212106.4737818,0072F1,MEDIUM,13951,00367F,13951,True
11655,1,7.8904291999933776,379,+,8.737554499995895,2153.24759745125,,212106.649795,0072F1,MEDIUM,14330,0037FA,14330,True
12055,1,8.065848999976879,400,+,8.912974299979396,2280.244305589339,,212106.8252148,0072F1,MEDIUM,14730,00398A,14730,True
12466,1,8.241752899979474,411,+,9.088878199981991,2336.5030564639937,,212107.0011187,0072F1,MEDIUM,15141,003B25,15141,True
12864,1,8.417711099988082,398,+,9.2648363999906,2261.9008377019577,,212107.1770769,0072F1,MEDIUM,15539,003CB3,15539,True
